CANISTER AUDIT LIST - ICP Mainnet
====================================
Date: 2026-07-30

Canister ID                          | Controllers                                                      | Subnet ID
223de-pqaaa-aaaaj-qck4a-cai          | 74zq4-iqaaa-aaaam-ab53a-cai (DOLR AI Dapp)                     | jtdsg-3h6gi-hs7o5-z2soi-43w3z-soyl3-ajnp3-ekni5-sw553-5kw67-nqe
223dm-saaaa-aaaar-bjefq-cai          | aboy3-giaaa-aaaar-aaaaq-cai, ainth-qaaaa-aaaar-aaaba-cai       | 2fq7c-slacv-26cgz-vzbx2-2jrcs-5edph-i5s2j-tck77-c3rlz-iobzx-mqe
223ea-ciaaa-aaaae-agakq-cai          | t64is-qmxox-4kgtp-xwtsg-ssvbl-coqwp-7jvbh-yqhqi-2gjvt-4k7l4-nqe | shefu-t3kr5-t5q3w-mqmdq-jabyv-vyvtf-cyyey-3kmo4-toyln-emubw-4qe
223fg-gaaaa-aaaak-qfjpq-cai          | 74zq4-iqaaa-aaaam-ab53a-cai (DOLR AI Dapp)                     | opn46-zyspe-hhmyp-4zu6u-7sbrh-dok77-m7dch-im62f-vyimr-a3n2c-4ae
223gm-kyaaa-aaaar-aawaq-cai          | aboy3-giaaa-aaaar-aaaaq-cai                                    | 2fq7c-slacv-26cgz-vzbx2-2jrcs-5edph-i5s2j-tck77-c3rlz-iobzx-mqe
223jf-riaaa-aaaar-amrmq-cai          | aboy3-giaaa-aaaar-aaaaq-cai                                    | 2fq7c-slacv-26cgz-vzbx2-2jrcs-5edph-i5s2j-tck77-c3rlz-iobzx-mqe
223kp-5qaaa-aaaak-qjodq-cai          | 74zq4-iqaaa-aaaam-ab53a-cai (DOLR AI Dapp)                     | opn46-zyspe-hhmyp-4zu6u-7sbrh-dok77-m7dch-im62f-vyimr-a3n2c-4ae
223lz-jyaaa-aaaan-qimga-cai          | gnbwv-aqaaa-aaaan-qhssq-cai                                    | cv73p-6v7zi-u67oy-7jc3h-qspsz-g5lrj-4fn7k-xrax3-thek2-sl46v-jae
223mf-jqaaa-aaaar-bfdjq-cai          | aboy3-giaaa-aaaar-aaaaq-cai                                    | 2fq7c-slacv-26cgz-vzbx2-2jrcs-5edph-i5s2j-tck77-c3rlz-iobzx-mqe
223mn-uaaaa-aaaaj-qonqa-cai          | t64is-qmxox-4kgtp-xwtsg-ssvbl-coqwp-7jvbh-yqhqi-2gjvt-4k7l4-nqe | jtdsg-3h6gi-hs7o5-z2soi-43w3z-soyl3-ajnp3-ekni5-sw553-5kw67-nqe
